id,School,Gender,Race,Local,Full Time,Future,Effectiveness,Online Supplement,Supplement Use,Feet,Inches,Weight,Exercise per Week,Exercise Time,Read Label,Taste,Price,Nutrition,Presentation,Appearance,Health,Parents Overweight,Final,Attend,Year,Semester,Class,Platform
15752,Diablo Valley College,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all,5.0,2.0,126.0,I don't regularly exercise,20 - 30 minutes,Not too often,4.0,1.0,2.0,3.0,Yes,Yes,Yes,0.756590909,0.961538462,2016.0,Spring,102.0,Aplia
74776,Diablo Valley College,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult,5.0,8.0,119.0,Once a week,Over an hour,Never,1.0,2.0,3.0,4.0,Yes,No,No,0.8315909090000001,0.538461538,2016.0,Spring,102.0,Aplia
70379,Diablo Valley College,Female,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,No problem at all,5.0,4.0,135.0,2 to 4 days a week,40 - 50 minutes,Often,3.0,2.0,1.0,4.0,Yes,Yes,No,0.9256818179999999,1.0,2016.0,Spring,102.0,Aplia
57716,Diablo Valley College,Male,Asian,International Student,Full time,Very helpful,Somewhat effective,Very helpful,Not too difficult,5.0,0.0,171.0,Once a week,30 - 40 minutes,Not too often,1.0,3.0,4.0,2.0,Yes,Yes,No,0.873409091,1.0,2016.0,Spring,102.0,Aplia
47811,Diablo Valley College,Female,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult,5.0,4.0,120.0,2 to 4 days a week,Over an hour,Often,1.0,4.0,3.0,2.0,Yes,Yes,No,0.868409091,0.96,2016.0,Spring,102.0,Aplia
87674,Diablo Valley College,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult,5.0,10.0,154.0,2 to 4 days a week,30 - 40 minutes,Sometime,1.0,3.0,4.0,2.0,Yes,Yes,No,0.9384090909999999,0.92,2016.0,Spring,102.0,Aplia
38283,Diablo Valley College,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all,5.0,8.0,154.0,2 to 4 days a week,Over an hour,Often,1.0,4.0,2.0,3.0,Yes,Yes,No,0.59733,0.75,2016.0,Spring,101.0,Aplia
92132,Diablo Valley College,Female,Asian,International Student,Full time,Somewhat helpful,Very effective,Very helpful,No problem at all,5.0,6.0,110.0,I don't regularly exercise,10 - 20 minutes,Not too often,4.0,3.0,2.0,1.0,Yes,Yes,No,0.892954545,0.92,2016.0,Spring,102.0,Aplia
92132,Diablo Valley College,Female,Asian,International Student,Full time,Somewhat helpful,Very effective,Very helpful,No problem at all,5.0,6.0,110.0,I don't regularly exercise,10 - 20 minutes,Not too often,4.0,3.0,2.0,1.0,Yes,Yes,No,0.879768769,0.833333333,2016.0,Spring,101.0,Aplia
11388,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all,5.0,2.0,110.0,Once a week,Over an hour,Never,2.0,1.0,4.0,3.0,Yes,Yes,Not sure,0.8990909090000001,1.0,2016.0,Spring,102.0,LaunchPad
04049,San Francisco State University,Female,Asian,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,No problem at all,5.0,2.0,115.0,I don't regularly exercise,20 - 30 minutes,Sometime,1.0,4.0,2.0,3.0,Yes,Yes,No,0.6915909090000001,0.7894736840000001,2016.0,Spring,102.0,LaunchPad
06658,Diablo Valley College,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult,5.0,10.0,167.0,I don't regularly exercise,40 - 50 minutes,Always,4.0,1.0,3.0,2.0,Yes,Yes,No,0.805227273,0.88,2016.0,Spring,102.0,Aplia
44587,San Francisco State University,Female,Asian,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all,5.0,2.0,110.0,Once a week,30 - 40 minutes,Not too often,2.0,3.0,1.0,4.0,Yes,Yes,No,0.715454545,0.8684210529999999,2016.0,Spring,102.0,LaunchPad
64197,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,Not too difficult,5.0,2.0,127.0,5 to 7 days a week,Over an hour,Always,2.0,1.0,3.0,4.0,Yes,Yes,Not sure,0.747454545,0.736842105,2016.0,Spring,102.0,LaunchPad
41110,Diablo Valley College,Male,Asian,Local Student,Full time,Somewhat helpful,Struggle learning in this class,Very helpful,Not too difficult,5.0,11.0,190.0,I don't regularly exercise,Over an hour,Often,2.0,3.0,1.0,4.0,Yes,Yes,No,0.485454545,0.846153846,2016.0,Spring,102.0,Aplia
89659,Diablo Valley College,Male,White,Local Student,Full time,Somewhat helpful,Very effective,Not too helpful,No problem at all,5.0,8.0,170.0,5 to 7 days a week,Over an hour,Often,4.0,2.0,3.0,1.0,Yes,Yes,No,0.758863636,0.96,2016.0,Spring,102.0,Aplia
22029,San Francisco State University,Male,Asian,Local Student,Full time,Not too helpful,Somewhat effective,Somewhat helpful,Not too difficult,5.0,10.0,160.0,I don't regularly exercise,Over an hour,Not too often,1.0,3.0,4.0,2.0,Yes,Yes,No,0.693045455,0.36842105299999994,2016.0,Spring,102.0,LaunchPad
79822,San Francisco State University,Male,Asian,Local Student,Full time,Not too helpful,Not too effective,Somewhat helpful,No problem at all,5.0,8.0,130.0,2 to 4 days a week,Over an hour,Sometime,4.0,2.0,1.0,3.0,Yes,Yes,No,0.789,0.894736842,2016.0,Spring,102.0,LaunchPad
55108,San Francisco State University,Female,African American,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult,5.0,4.0,127.0,I don't regularly exercise,20 - 30 minutes,Sometime,1.0,4.0,3.0,2.0,Yes,Yes,No,0.417045455,0.7105263159999999,2016.0,Spring,102.0,LaunchPad
08345,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all,6.0,0.0,130.0,Once a week,20 - 30 minutes,Not too often,1.0,3.0,2.0,4.0,Yes,Yes,Not sure,0.4125,0.552631579,2016.0,Spring,102.0,LaunchPad
54622,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,Somewhat difficult,6.0,2.0,200.0,5 to 7 days a week,Over an hour,Always,3.0,2.0,1.0,4.0,Yes,Yes,No,0.7438636359999999,0.842105263,2016.0,Spring,102.0,LaunchPad
35935,Diablo Valley College,Male,White,Local Student,Full time,Somewhat helpful,Very effective,Very helpful,No problem at all,6.0,0.0,141.0,2 to 4 days a week,40 - 50 minutes,Often,3.0,1.0,2.0,4.0,Yes,Yes,No,0.6338636360000001,1.0,2016.0,Spring,102.0,Aplia
06908,San Francisco State University,Female,Asian,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,No problem at all,5.0,4.0,130.0,2 to 4 days a week,30 - 40 minutes,Sometime,1.0,4.0,2.0,3.0,Yes,Yes,No,0.549545455,0.894736842,2016.0,Spring,102.0,LaunchPad
64114,San Francisco State University,Female,Hispanic,Local Student,Part time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult,5.0,5.0,165.0,Once a week,30 - 40 minutes,Sometime,3.0,4.0,2.0,1.0,Yes,Yes,No,0.695545455,0.894736842,2016.0,Spring,102.0,LaunchPad
81270,Diablo Valley College,Male,Hispanic,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,Somewhat difficult,5.0,11.0,172.0,2 to 4 days a week,Over an hour,Never,2.0,4.0,3.0,1.0,Yes,Yes,Not sure,0.627272727,0.84,2016.0,Spring,102.0,Aplia
06839,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all,5.0,7.0,130.0,I don't regularly exercise,20 - 30 minutes,Sometime,1.0,2.0,4.0,3.0,Yes,Yes,No,0.626363636,1.0,2016.0,Spring,102.0,LaunchPad
49676,Diablo Valley College,Female,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Somewhat difficult,5.0,6.0,142.0,Once a week,20 - 30 minutes,Always,4.0,2.0,1.0,3.0,Yes,Yes,No,0.878409091,0.68,2016.0,Spring,102.0,Aplia
90311,San Francisco State University,Male,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Somewhat difficult,5.0,11.0,160.0,Once a week,20 - 30 minutes,Often,1.0,4.0,3.0,2.0,Yes,Yes,No,0.610681818,0.842105263,2016.0,Spring,102.0,LaunchPad
32828,San Francisco State University,Female,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult,5.0,3.0,131.0,2 to 4 days a week,Over an hour,Not too often,1.0,4.0,2.0,3.0,Yes,Yes,Not sure,0.764318182,0.947368421,2016.0,Spring,102.0,LaunchPad
22021,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult,5.0,7.0,153.0,Once a week,Over an hour,Sometime,4.0,3.0,2.0,1.0,No,Yes,No,0.919772727,0.9736842109999999,2016.0,Spring,102.0,LaunchPad
28180,Diablo Valley College,Female,Hispanic,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all,5.0,0.0,114.0,2 to 4 days a week,40 - 50 minutes,Not too often,3.0,2.0,1.0,4.0,Yes,Yes,No,0.689090909,0.96,2016.0,Spring,102.0,Aplia
06869,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Very effective,Somewhat helpful,Not too difficult,5.0,10.0,167.0,5 to 7 days a week,40 - 50 minutes,Never,2.0,1.0,4.0,3.0,Yes,Yes,No,0.633636364,0.894736842,2016.0,Spring,102.0,LaunchPad
97773,San Francisco State University,Female,Others,Local Student,Full time,Not too helpful,Struggle learning in this class,Not too helpful,No problem at all,5.0,7.0,135.0,I don't regularly exercise,10 - 20 minutes,Never,1.0,2.0,4.0,3.0,Yes,No,Yes,0.850545455,0.8684210529999999,2016.0,Spring,102.0,LaunchPad
97773,San Francisco State University,Female,Others,Local Student,Full time,Not too helpful,Struggle learning in this class,Not too helpful,No problem at all,5.0,7.0,135.0,I don't regularly exercise,10 - 20 minutes,Never,1.0,2.0,4.0,3.0,Yes,No,Yes,0.417954545,0.894736842,2016.0,Spring,102.0,LaunchPad
95533,San Francisco State University,Male,Asian,Local Student,Full time,Very helpful,Very effective,Not too helpful,Not too difficult,5.0,11.0,170.0,Once a week,20 - 30 minutes,Often,1.0,4.0,2.0,3.0,Yes,Yes,No,0.898409091,0.842105263,2016.0,Spring,102.0,LaunchPad
08798,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all,6.0,6.0,175.0,2 to 4 days a week,Over an hour,Sometime,1.0,3.0,4.0,2.0,Yes,Yes,Yes,0.822045455,1.0,2016.0,Spring,102.0,LaunchPad
80271,San Francisco State University,Female,African American,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult,5.0,8.0,180.0,2 to 4 days a week,Over an hour,Often,3.0,2.0,1.0,4.0,Yes,Yes,No,0.788181818,1.0,2016.0,Spring,102.0,LaunchPad
18943,University of San Francisco,Female,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Somewhat difficult,5.0,11.0,112.0,I don't regularly exercise,Over an hour,Sometime,1.0,2.0,4.0,3.0,Yes,Yes,Not sure,0.801761615,0.46875,2016.0,Spring,101.0,Sapling
59727,University of San Francisco,Male,Asian,International Student,Full time,Somewhat helpful,Very effective,Very helpful,Not too difficult,5.0,8.0,135.0,2 to 4 days a week,Over an hour,Sometime,1.0,3.0,2.0,4.0,Yes,Yes,No,0.6789362309999999,0.90625,2016.0,Spring,101.0,Sapling
31998,San Francisco State University,Female,African American,Local Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,No problem at all,5.0,4.0,145.0,2 to 4 days a week,Over an hour,Never,2.0,4.0,1.0,3.0,Yes,Yes,No,0.779590909,0.921052632,2016.0,Spring,102.0,LaunchPad
93375,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all,6.0,0.0,150.0,2 to 4 days a week,40 - 50 minutes,Often,1.0,3.0,4.0,2.0,Yes,Yes,No,0.9059090909999999,0.815789474,2016.0,Spring,102.0,LaunchPad
73736,San Francisco State University,Male,Hispanic,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,Not too difficult,5.0,11.0,165.0,Once a week,40 - 50 minutes,Often,4.0,3.0,1.0,2.0,Yes,Yes,No,0.6915909090000001,0.947368421,2016.0,Spring,102.0,LaunchPad
69948,University of San Francisco,Male,White,Local Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,Somewhat difficult,5.0,8.0,160.0,5 to 7 days a week,Over an hour,Often,2.0,3.0,1.0,4.0,Yes,Yes,No,0.808749462,0.6875,2016.0,Spring,101.0,Sapling
06602,Diablo Valley College,Male,White,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all,5.0,10.0,161.0,2 to 4 days a week,Over an hour,Often,4.0,2.0,3.0,1.0,Yes,Yes,No,0.8115909090000001,0.52,2016.0,Spring,102.0,Aplia
42793,San Francisco State University,Female,African American,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,No problem at all,5.0,9.0,155.0,Once a week,20 - 30 minutes,Not too often,2.0,4.0,3.0,1.0,Yes,Yes,No,0.764,0.947368421,2016.0,Spring,102.0,LaunchPad
79037,San Francisco State University,Male,Hispanic,Local Student,Full time,Somewhat helpful,Very effective,Somewhat helpful,No problem at all,5.0,8.0,135.0,I don't regularly exercise,Over an hour,Sometime,2.0,3.0,4.0,1.0,Yes,Yes,No,0.5637272729999999,0.9736842109999999,2016.0,Spring,102.0,LaunchPad
88248,University of San Francisco,Female,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult,5.0,8.0,107.0,I don't regularly exercise,30 - 40 minutes,Often,1.0,4.0,3.0,2.0,Yes,Yes,No,0.8288832309999999,0.96875,2016.0,Spring,101.0,Sapling
52240,San Francisco State University,Male,Hispanic,Local Student,Full time,Very helpful,Very effective,Very helpful,Somewhat difficult,5.0,7.0,142.0,5 to 7 days a week,Over an hour,Always,3.0,2.0,1.0,4.0,Yes,Yes,No,0.5894560000000001,0.5625,2016.0,Spring,101.0,Sapling
11188,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Very effective,Very helpful,No problem at all,5.0,2.0,120.0,I don't regularly exercise,20 - 30 minutes,Often,2.0,1.0,3.0,4.0,Yes,Yes,No,0.811045455,0.815789474,2016.0,Spring,102.0,LaunchPad
77905,San Francisco State University,Male,Hispanic,Local Student,Full time,Somewhat helpful,Very effective,Somewhat helpful,Not too difficult,5.0,4.0,125.0,2 to 4 days a week,30 - 40 minutes,Sometime,2.0,3.0,1.0,4.0,Yes,Yes,No,0.799863636,1.0,2016.0,Spring,102.0,LaunchPad
93006,San Francisco State University,Male,Hispanic,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all,5.0,11.0,180.0,2 to 4 days a week,10 - 20 minutes,Never,1.0,2.0,3.0,4.0,Yes,Yes,No,0.9938636359999999,0.9736842109999999,2016.0,Spring,102.0,LaunchPad
89973,Diablo Valley College,Female,Hispanic,Local Student,Part time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult,5.0,8.0,138.0,5 to 7 days a week,30 - 40 minutes,Sometime,1.0,2.0,3.0,4.0,Yes,Yes,Yes,0.939303462,1.0,2016.0,Spring,101.0,Aplia
49852,University of San Francisco,Male,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,Somewhat difficult,6.0,1.0,193.0,5 to 7 days a week,Over an hour,Never,1.0,2.0,4.0,3.0,Yes,Yes,No,0.628400846,0.15625,2016.0,Spring,101.0,Sapling
18949,San Francisco State University,Male,Asian,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,No problem at all,5.0,10.0,170.0,Once a week,20 - 30 minutes,Never,2.0,1.0,3.0,4.0,No,Yes,Not sure,0.663636364,0.9736842109999999,2016.0,Spring,102.0,LaunchPad
47632,University of San Francisco,Male,Asian,International Student,Full time,Somewhat helpful,Very effective,Very helpful,Not too difficult,6.0,1.0,200.0,2 to 4 days a week,40 - 50 minutes,Not too often,2.0,1.0,3.0,4.0,Yes,Yes,No,0.922695,0.5625,2016.0,Spring,101.0,Sapling
77939,University of San Francisco,Female,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult,5.0,5.0,99.0,I don't regularly exercise,40 - 50 minutes,Not too often,4.0,2.0,3.0,1.0,Yes,Yes,Yes,0.943881231,0.875,2016.0,Spring,101.0,Sapling
64772,University of San Francisco,Male,Asian,International Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,Somewhat difficult,5.0,7.0,132.0,5 to 7 days a week,Over an hour,Not too often,1.0,3.0,4.0,2.0,Yes,Yes,No,0.808495462,0.96875,2016.0,Spring,101.0,Sapling
97273,San Francisco State University,Female,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all,5.0,5.0,118.0,2 to 4 days a week,30 - 40 minutes,Sometime,4.0,1.0,2.0,3.0,Yes,Yes,Not sure,0.888409091,0.8684210529999999,2016.0,Spring,102.0,LaunchPad
01769,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,No problem at all,5.0,9.0,145.0,2 to 4 days a week,20 - 30 minutes,Often,1.0,3.0,2.0,4.0,Yes,Yes,Yes,0.8868181820000001,0.9736842109999999,2016.0,Spring,102.0,LaunchPad
90520,Diablo Valley College,Male,White,Local Student,Full time,Somewhat helpful,Very effective,Very helpful,Not too difficult,6.0,2.0,160.0,I don't regularly exercise,20 - 30 minutes,Sometime,1.0,2.0,3.0,4.0,Yes,Yes,No,0.8809090909999999,0.884615385,2016.0,Spring,102.0,Aplia
90801,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,Somewhat difficult,5.0,5.0,160.0,I don't regularly exercise,10 - 20 minutes,Sometime,3.0,4.0,2.0,1.0,Yes,Yes,Not sure,0.8161363640000001,1.0,2016.0,Spring,102.0,LaunchPad
07662,San Francisco State University,Male,Asian,International Student,Full time,Very helpful,Somewhat effective,Very helpful,No problem at all,5.0,11.0,139.0,5 to 7 days a week,Over an hour,Always,3.0,1.0,2.0,4.0,Yes,Yes,No,0.9836363640000001,0.8684210529999999,2016.0,Spring,102.0,LaunchPad
50326,San Francisco State University,Female,Asian,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,Somewhat difficult,5.0,6.0,121.0,I don't regularly exercise,20 - 30 minutes,Often,3.0,2.0,1.0,4.0,Yes,Yes,No,0.815,1.0,2016.0,Spring,102.0,LaunchPad
51254,University of San Francisco,Male,Asian,International Student,Full time,Somewhat helpful,Very effective,Not too helpful,No problem at all,5.0,8.0,140.0,2 to 4 days a week,Over an hour,Often,2.0,4.0,1.0,3.0,Yes,Yes,Yes,0.8657732309999999,1.0,2016.0,Spring,101.0,Sapling
23449,San Francisco State University,Male,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,Somewhat difficult,6.0,1.0,200.0,2 to 4 days a week,40 - 50 minutes,Sometime,1.0,2.0,3.0,4.0,Yes,Yes,No,0.733409091,0.7105263159999999,2016.0,Spring,102.0,LaunchPad
74972,Diablo Valley College,Male,Asian,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,Not too difficult,5.0,11.0,185.0,I don't regularly exercise,20 - 30 minutes,Not too often,3.0,4.0,2.0,1.0,Yes,Yes,No,0.879545455,0.96,2016.0,Spring,102.0,Aplia
88468,Diablo Valley College,Male,Hispanic,Local Student,Full time,Somewhat helpful,Very effective,Very helpful,Not too difficult,5.0,10.0,155.0,2 to 4 days a week,Over an hour,Often,1.0,3.0,2.0,4.0,Yes,Yes,Yes,0.851136364,0.88,2016.0,Spring,102.0,Aplia
47068,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,Not too difficult,5.0,6.0,119.0,Once a week,20 - 30 minutes,Not too often,1.0,2.0,3.0,4.0,Yes,Yes,No,0.741454545,0.921052632,2016.0,Spring,102.0,LaunchPad
37353,San Francisco State University,Female,Others,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult,5.0,7.0,155.0,Once a week,30 - 40 minutes,Sometime,1.0,2.0,4.0,3.0,Yes,Yes,No,0.8923636359999999,0.894736842,2016.0,Spring,102.0,LaunchPad
56815,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult,5.0,7.0,140.0,I don't regularly exercise,Over an hour,Often,1.0,2.0,4.0,3.0,Yes,Yes,No,0.7438636359999999,1.0,2016.0,Spring,102.0,LaunchPad
40612,Diablo Valley College,Male,Others,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,Not too difficult,6.0,4.0,195.0,5 to 7 days a week,Over an hour,Sometime,2.0,3.0,1.0,4.0,Yes,Yes,No,0.790662615,0.958333333,2016.0,Spring,101.0,Aplia
94745,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult,5.0,5.0,125.0,2 to 4 days a week,Over an hour,Not too often,1.0,2.0,4.0,3.0,Yes,Yes,No,0.9063636359999999,0.947368421,2016.0,Spring,102.0,LaunchPad
33341,San Francisco State University,Male,Hispanic,Local Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,Not too difficult,5.0,9.0,180.0,2 to 4 days a week,Over an hour,Sometime,4.0,2.0,1.0,3.0,Yes,Yes,Not sure,0.816045455,0.947368421,2016.0,Spring,102.0,LaunchPad
86265,San Francisco State University,Female,Asian,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,Not too difficult,5.0,1.0,98.0,2 to 4 days a week,20 - 30 minutes,Often,1.0,2.0,3.0,4.0,Yes,Yes,No,0.8306363640000001,0.736842105,2016.0,Spring,102.0,LaunchPad
86351,Diablo Valley College,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,No problem at all,5.0,7.0,160.0,Once a week,20 - 30 minutes,Never,2.0,1.0,4.0,3.0,No,Yes,Yes,0.713501231,0.958333333,2016.0,Spring,101.0,Aplia
98896,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all,5.0,2.0,112.0,2 to 4 days a week,10 - 20 minutes,Sometime,1.0,4.0,3.0,2.0,Yes,Yes,Not sure,0.832045455,0.894736842,2016.0,Spring,102.0,LaunchPad
09831,San Francisco State University,Female,Hispanic,Local Student,Full time,Not too helpful,Somewhat effective,Somewhat helpful,No problem at all,5.0,4.0,155.0,I don't regularly exercise,40 - 50 minutes,Sometime,1.0,4.0,3.0,2.0,No,Yes,No,0.791545455,0.9736842109999999,2016.0,Spring,102.0,LaunchPad
