id,Feet,Inches,Weight,Exercise per Week,Exercise Time,Read Label,Taste,Price,Nutrition,Presentation,Appearance,Health,Parents Overweight
916735617,5,3,110,2 to 4 days a week,Over an hour,Often,,1,,2,Yes,Yes,No
913811085,11,5,176,2 to 4 days a week,Over an hour,Sometime,2,1,3,4,Yes,Yes,No
915479544,5,5,140,Once a week,40 - 50 minutes,Sometime,3,2,1,4,Yes,Yes,No
W10610676,5,1,130,2 to 4 days a week,Over an hour,Often,1,2,4,3,Yes,Yes,Yes
916543256,6,0,140,Once a week,30 - 40 minutes,Sometime,1,4,2,3,Yes,Yes,No
916782872,5,9,142,5 to 7 days a week,Over an hour,Never,1,4,2,3,Yes,Yes,No
20385308,5,11,195,2 to 4 days a week,Over an hour,Never,1,2,3,4,Yes,Yes,No
20403071,5,8,151,5 to 7 days a week,Over an hour,Always,1,3,2,4,Yes,Yes,No
20403727,5,7,147,5 to 7 days a week,30 - 40 minutes,Often,2,1,3,4,Yes,Yes,Not sure
W10346941,5,10,129,I don't regularly exercise,,Sometime,1,2,3,4,Yes,Yes,No
916423734,6,2,160,2 to 4 days a week,30 - 40 minutes,Sometime,3,2,1,4,Yes,Yes,Yes
916684462,5,3,115,I don't regularly exercise,20 - 30 minutes,Not too often,1,4,3,2,Yes,Yes,No
W78018756,5,10,140,I don't regularly exercise,20 - 30 minutes,Sometime,3,2,1,4,Yes,Yes,Yes
w77076194,5,4,130,2 to 4 days a week,Over an hour,Often,3,2,1,4,Yes,Yes,No
913308375,5,3,105,I don't regularly exercise,40 - 50 minutes,Always,4,2,3,1,Yes,Yes,No
w10372291,5,1,152,Once a week,20 - 30 minutes,Often,1,3,4,2,Yes,Yes,Not sure
917211443,5,0,130,2 to 4 days a week,Over an hour,Always,3,4,1,2,No,Yes,Not sure
917220127,5,6,110,I don't regularly exercise,Over an hour,Not too often,3,4,1,2,No,Yes,No
20447005,5,5,155,I don't regularly exercise,20 - 30 minutes,Not too often,2,1,4,3,Yes,Yes,No
917028819,5,6,135,I don't regularly exercise,20 - 30 minutes,Not too often,1,2,4,3,Yes,Yes,No
915149994,5,4,145,2 to 4 days a week,40 - 50 minutes,Never,3,4,2,1,Yes,Yes,Yes
911971312,6,0,188,5 to 7 days a week,30 - 40 minutes,Often,1,3,2,4,Yes,Yes,Yes
@00293014,6,6,122,Once a week,30 - 40 minutes,Sometime,1,3,2,4,Yes,Yes,No
917071498,5,7,130,Once a week,Over an hour,Never,1,2,4,3,Yes,Yes,No
20400554,5,5,120,2 to 4 days a week,40 - 50 minutes,Not too often,1,4,2,3,Yes,Yes,No
916549288,5,6,130,2 to 4 days a week,30 - 40 minutes,Sometime,,1,,2,Yes,Yes,No
20396161,5,2,114,2 to 4 days a week,Over an hour,Often,1,2,3,4,Yes,Yes,Not sure
916890811,5,10,145,5 to 7 days a week,Over an hour,Often,4,3,2,1,Yes,Yes,No
w77018564,5,4,121,2 to 4 days a week,40 - 50 minutes,Not too often,4,3,2,1,Yes,Yes,No
917006355,5,10,160,Once a week,40 - 50 minutes,Not too often,3,4,2,1,Yes,Yes,Yes
20447206,5,10,175,2 to 4 days a week,Over an hour,Often,1,4,2,3,Yes,Yes,Not sure
913408345,6,0,145,Once a week,30 - 40 minutes,Sometime,1,2,3,4,Yes,Yes,Yes
916727453,5,4,110,Once a week,Over an hour,Not too often,1,2,3,4,Yes,Yes,Yes
917079870,5,5,118,I don't regularly exercise,30 - 40 minutes,Sometime,4,1,3,2,Yes,Yes,No
916885130,5,4,102,I don't regularly exercise,10 - 20 minutes,Sometime,1,2,3,4,Yes,Yes,Not sure
916556568,5,8,150,2 to 4 days a week,40 - 50 minutes,Never,3,4,1,2,Yes,Yes,No
20403573,5,3,103,I don't regularly exercise,10 - 20 minutes,Sometime,4,3,2,1,Yes,Yes,No
917009930,5,4,185,2 to 4 days a week,40 - 50 minutes,Never,2,1,4,3,Yes,Yes,Yes
917167126,,,94,Once a week,30 - 40 minutes,Sometime,4,3,2,1,Yes,Yes,No
916977729,5,3,115,I don't regularly exercise,30 - 40 minutes,Not too often,1,2,4,3,Yes,Yes,No
916965678,5,11,135,I don't regularly exercise,10 - 20 minutes,Always,2,3,1,4,Yes,Yes,No
915616954,5,3,132,Once a week,20 - 30 minutes,Sometime,2,1,4,3,Yes,Yes,No
916732146,5,8,138,2 to 4 days a week,40 - 50 minutes,Not too often,1,3,2,4,Yes,Yes,No
916848665,4,5,130,2 to 4 days a week,Over an hour,Always,,,1,2,Yes,Yes,Yes
20391360,5,5,102,Once a week,30 - 40 minutes,Not too often,4,3,1,2,Yes,Yes,No
20390317,5,3,120,I don't regularly exercise,20 - 30 minutes,Not too often,1,2,3,4,Yes,Yes,Yes
916104883,5,11,155,Once a week,30 - 40 minutes,Sometime,2,1,4,3,Yes,Yes,No
915944294,5,10,150,Once a week,Over an hour,Always,3,1,2,4,Yes,Yes,No
916257737,5,2,120,I don't regularly exercise,20 - 30 minutes,Not too often,1,2,3,4,Yes,Yes,No
916365143,5,6,170,2 to 4 days a week,30 - 40 minutes,Sometime,,4,,2,Yes,Yes,Not sure
917160392,5,6,123,2 to 4 days a week,20 - 30 minutes,Often,2,3,4,1,Yes,Yes,No
20402074,5,11,183,2 to 4 days a week,30 - 40 minutes,Always,3,1,2,4,Yes,Yes,Not sure
913745006,6,8,150,2 to 4 days a week,Over an hour,Sometime,4,1,3,2,Yes,Yes,No
916227967,5,2,120,I don't regularly exercise,30 - 40 minutes,Not too often,1,2,3,4,Yes,Yes,No
916301365,5,8,165,5 to 7 days a week,40 - 50 minutes,Never,1,3,2,4,Yes,Yes,Yes
20401430,5,8,140,2 to 4 days a week,20 - 30 minutes,Sometime,1,3,2,4,Yes,Yes,Yes
916514123,6,5,235,2 to 4 days a week,Over an hour,Often,1,4,3,2,Yes,Yes,Yes
917227732,5,2,133,I don't regularly exercise,20 - 30 minutes,Not too often,1,2,4,3,Yes,Yes,No
917131909,5,2,114,2 to 4 days a week,40 - 50 minutes,Sometime,2,1,3,4,Yes,Yes,No
916615172,5,5,135,I don't regularly exercise,Over an hour,Often,2,4,1,3,Yes,Yes,No
915632905,5,6,112,2 to 4 days a week,Over an hour,Sometime,1,4,2,3,Yes,Yes,No
916157897,5,3,110,I don't regularly exercise,10 - 20 minutes,Never,1,3,2,4,Yes,Yes,Yes
915059020,6,0,265,2 to 4 days a week,40 - 50 minutes,Sometime,1,3,2,4,Yes,No,Not sure
20395714,5,7,150,2 to 4 days a week,40 - 50 minutes,Sometime,2,1,3,4,Yes,Yes,No
W10436426,5,6,118,I don't regularly exercise,20 - 30 minutes,Not too often,1,2,4,3,Yes,Yes,No
917073136,5,8,187,I don't regularly exercise,30 - 40 minutes,Often,2,1,3,4,Yes,Yes,No
w10485795,4,11,94,Once a week,20 - 30 minutes,Sometime,,,3,1,No,Yes,No
917112370,5,10,130,2 to 4 days a week,20 - 30 minutes,Not too often,3,4,1,2,Yes,Yes,No
916248689,5,7,157,2 to 4 days a week,10 - 20 minutes,Not too often,3,1,2,4,Yes,Yes,No
916871233,5,4,180,I don't regularly exercise,40 - 50 minutes,Not too often,2,1,4,3,Yes,Yes,No
20397795,5,10,125,Once a week,40 - 50 minutes,Never,1,2,4,3,Yes,Yes,No
916753388,6,3,230,2 to 4 days a week,Over an hour,Sometime,4,3,2,1,Yes,Yes,No
915937599,5,4,124,2 to 4 days a week,Over an hour,Not too often,2,1,3,4,Yes,Yes,No
915221832,5,10,170,5 to 7 days a week,Over an hour,Sometime,1,3,2,4,Yes,Yes,No
20274612,6,1,260,I don't regularly exercise,20 - 30 minutes,Not too often,2,3,4,1,Yes,Yes,No
916170351,4,8,110,2 to 4 days a week,Over an hour,Not too often,2,1,3,4,Yes,Yes,Yes
913650691,5,8,208,Once a week,20 - 30 minutes,Not too often,1,3,4,2,Yes,Yes,Yes
916820754,5,10,135,2 to 4 days a week,40 - 50 minutes,Sometime,4,2,1,3,Yes,Yes,No
916663233,6,2,182,2 to 4 days a week,40 - 50 minutes,Often,1,2,3,4,Yes,Yes,Not sure
916564160,5,9,160,5 to 7 days a week,Over an hour,Often,2,1,3,4,Yes,Yes,No
20384843,6,4,215,2 to 4 days a week,Over an hour,Always,3,2,1,4,Yes,Yes,Yes
916653665,5,5,128,Once a week,Over an hour,Never,,,1,4,Yes,Yes,No
911857289,5,5,145,Once a week,30 - 40 minutes,Sometime,1,3,2,4,Yes,Yes,No
915971906,5,2,160,Once a week,30 - 40 minutes,Not too often,2,1,3,4,Yes,Yes,No
916619748,5,10,170,2 to 4 days a week,Over an hour,Sometime,1,3,2,4,Yes,Yes,No
916811342,6,1,175,2 to 4 days a week,30 - 40 minutes,Never,1,2,3,4,Yes,Yes,No
912349859,,,107,I don't regularly exercise,20 - 30 minutes,Not too often,1,3,4,2,Yes,Yes,No
915559806,5,3,150,2 to 4 days a week,Over an hour,Sometime,4,2,3,1,Yes,Yes,Yes
916910805,5,9,180,I don't regularly exercise,20 - 30 minutes,Sometime,3,2,1,4,Yes,Yes,No
916791465,5,3,110,I don't regularly exercise,30 - 40 minutes,Not too often,1,2,4,3,Yes,Yes,No
20369676,5,7,170,Once a week,Over an hour,Sometime,1,3,2,4,Yes,Yes,Yes
916093963,5,7,124,5 to 7 days a week,Over an hour,Often,2,1,,3,No,Yes,No
913460163,5,11,120,I don't regularly exercise,20 - 30 minutes,Sometime,,2,,1,Yes,Yes,No
916611506,5,11,170,Once a week,Over an hour,Sometime,1,4,3,2,Yes,Yes,No
917037334,5,6,115,I don't regularly exercise,30 - 40 minutes,Not too often,3,1,2,4,Yes,Yes,No
20387494,5,7,154,Once a week,Over an hour,Always,4,1,3,2,Yes,Yes,No
20398748,5,1,135,2 to 4 days a week,Over an hour,Not too often,4,1,3,2,Yes,Yes,Yes
916710358,6,0,170,2 to 4 days a week,Over an hour,Often,1,3,2,4,Yes,Yes,No
917220075,5,3,110,Once a week,Over an hour,Sometime,1,2,4,3,Yes,No,Not sure
20386191,5,11,165,Once a week,Over an hour,Sometime,1,4,3,2,Yes,Yes,No
@00281914,5,4,123,2 to 4 days a week,10 - 20 minutes,Often,1,3,2,4,Yes,Yes,No
20386978,5,7,145,5 to 7 days a week,Over an hour,Not too often,1,3,2,4,Yes,Yes,Yes
20396952,5,2,103,I don't regularly exercise,10 - 20 minutes,Never,2,1,3,4,Yes,Yes,No
916679197,5,5,115,2 to 4 days a week,30 - 40 minutes,Often,4,2,3,1,Yes,Yes,No
916389596,6,2,215,2 to 4 days a week,Over an hour,Often,4,1,2,3,Yes,Yes,Not sure
917084992,5,1,97,I don't regularly exercise,40 - 50 minutes,Sometime,1,4,2,3,Yes,Yes,No
916110005,5,5,165,Once a week,Over an hour,Not too often,4,2,1,3,Yes,Yes,Yes
913782238,5,10,170,Once a week,30 - 40 minutes,Often,1,4,2,3,Yes,Yes,No
916034241,5,6,125,I don't regularly exercise,10 - 20 minutes,Often,,2,,1,Yes,Yes,No
917220114,5,7,132,2 to 4 days a week,40 - 50 minutes,Often,3,1,2,4,Yes,Yes,No
916866137,5,4,132,2 to 4 days a week,20 - 30 minutes,Sometime,2,3,1,4,Yes,Yes,No
W10608407,5,9,135,I don't regularly exercise,20 - 30 minutes,Not too often,3,2,4,1,Yes,Yes,No
915505505,5,4,115,Once a week,10 - 20 minutes,Not too often,2,1,3,4,Yes,Yes,No
916657760,5,8,113,I don't regularly exercise,10 - 20 minutes,Often,3,1,2,4,Yes,Yes,No
916140867,5,8,150,Once a week,10 - 20 minutes,Never,2,4,3,1,Yes,Yes,No
916712295,5,2,130,2 to 4 days a week,Over an hour,Not too often,2,1,3,4,Yes,Yes,No
916317563,5,2,120,2 to 4 days a week,Over an hour,Often,1,3,2,4,Yes,Yes,No
916566695,5,6,122,Once a week,20 - 30 minutes,Sometime,2,1,3,4,Yes,Yes,No
916566747,5,5,112,I don't regularly exercise,10 - 20 minutes,Sometime,1,2,3,4,Yes,Yes,No
916045603,5,2,105,I don't regularly exercise,30 - 40 minutes,Sometime,2,1,4,3,Yes,Yes,No
916035125,5,9,175,5 to 7 days a week,Over an hour,Always,2,,1,,Yes,Yes,No
W10370252,5,3,130,2 to 4 days a week,Over an hour,Sometime,1,4,2,3,Yes,Yes,Not sure
916734850,6,0,180,Once a week,Over an hour,Never,2,1,4,3,Yes,Yes,No
916892254,5,4,160,5 to 7 days a week,Over an hour,Often,4,3,2,1,Yes,Yes,Yes
20395728,6,0,170,2 to 4 days a week,30 - 40 minutes,Always,3,1,2,4,Yes,Yes,No
917206724,5,3,112,I don't regularly exercise,10 - 20 minutes,Not too often,1,3,2,4,Yes,Yes,No
20391655,5,8,122,I don't regularly exercise,20 - 30 minutes,Never,2,1,4,3,Yes,No,No
20391171,5,9,144,2 to 4 days a week,Over an hour,Sometime,2,1,3,4,Yes,Yes,Not sure
20383015,5,3,130,2 to 4 days a week,40 - 50 minutes,Sometime,4,3,2,1,No,Yes,No
20402971,6,3,180,Once a week,Over an hour,Always,2,3,1,4,Yes,Yes,No
20391297,5,9,160,Once a week,30 - 40 minutes,Often,2,1,3,4,Yes,Yes,Not sure
20390495,5,1,105,Once a week,30 - 40 minutes,Sometime,,1,,2,Yes,Yes,Not sure
20446222,5,9,130,I don't regularly exercise,Over an hour,Not too often,2,1,3,4,Yes,No,No
20396692,5,8,122,2 to 4 days a week,10 - 20 minutes,Sometime,1,2,4,3,Yes,Yes,No
916983891,5,4,90,Once a week,40 - 50 minutes,Not too often,3,1,4,2,Yes,Yes,No
915886652,6,0,377,I don't regularly exercise,Over an hour,Sometime,2,1,4,3,Yes,Yes,No
916972945,5,11,185,Once a week,40 - 50 minutes,Never,2,1,3,4,Yes,Yes,No
20447183,5,5,160,2 to 4 days a week,40 - 50 minutes,Sometime,3,4,1,2,Yes,Yes,Not sure
20394696,6,0,200,I don't regularly exercise,20 - 30 minutes,Sometime,2,1,3,4,No,No,No
915831285,5,7,140,I don't regularly exercise,40 - 50 minutes,Sometime,4,,,3,Yes,Yes,Not sure
915846144,5,2,110,2 to 4 days a week,20 - 30 minutes,Sometime,1,4,3,2,Yes,Yes,No
916734213,5,0,140,2 to 4 days a week,Over an hour,Not too often,2,1,3,4,Yes,Yes,No
916663324,5,7,140,2 to 4 days a week,Over an hour,Always,3,2,1,4,Yes,Yes,No
916174043,5,11,170,Once a week,20 - 30 minutes,Sometime,3,1,2,4,No,Yes,No
915968370,5,11,160,2 to 4 days a week,Over an hour,Sometime,3,1,2,4,Yes,Yes,No
915840931,5,9,175,2 to 4 days a week,Over an hour,Not too often,1,4,2,3,Yes,Yes,No
917200432,5,8,30,Once a week,20 - 30 minutes,Sometime,2,,,3,Yes,Yes,Yes
916639105,5,1,115,I don't regularly exercise,Over an hour,Never,1,2,4,3,Yes,Yes,No
916732913,6,1,225,2 to 4 days a week,Over an hour,Sometime,3,4,2,1,Yes,Yes,Yes
916295437,5,10,207,2 to 4 days a week,30 - 40 minutes,Sometime,1,2,3,4,No,Yes,No
916977898,5,4,140,Once a week,40 - 50 minutes,Sometime,,,4,1,Yes,Yes,No
915062387,5,3,150,2 to 4 days a week,40 - 50 minutes,Often,4,2,3,1,Yes,Yes,No
20391480,5,6,140,Once a week,30 - 40 minutes,Sometime,1,2,3,4,Yes,Yes,No
917038920,5,2,105,Once a week,20 - 30 minutes,Sometime,1,4,2,3,Yes,Yes,Not sure
916996358,5,5,128,I don't regularly exercise,10 - 20 minutes,Not too often,2,1,4,3,Yes,Yes,No
W10621049,5,5,130,5 to 7 days a week,Over an hour,Always,3,2,4,1,Yes,Yes,No
917216643,5,11,160,I don't regularly exercise,10 - 20 minutes,Never,1,3,,2,Yes,Yes,Yes
20402818,6,0,172,I don't regularly exercise,20 - 30 minutes,Sometime,1,2,4,3,Yes,Yes,No
912437037,5,9,135,2 to 4 days a week,40 - 50 minutes,Often,2,1,3,4,Yes,Yes,No
20359402,5,4,122,2 to 4 days a week,40 - 50 minutes,Often,3,2,4,1,Yes,Yes,No
20333758,5,6,145,I don't regularly exercise,10 - 20 minutes,Never,2,1,4,3,Yes,Yes,Yes
20360174,5,5,125,2 to 4 days a week,20 - 30 minutes,Always,2,1,3,4,Yes,Yes,Not sure
20392409,5,6,155,Once a week,20 - 30 minutes,Often,3,1,4,2,No,Yes,No
20389707,5,10,115,I don't regularly exercise,Over an hour,Not too often,2,1,3,4,No,Yes,No
20383145,5,7,130,2 to 4 days a week,Over an hour,Not too often,3,2,1,4,Yes,Yes,No
@00283469,5,11,150,2 to 4 days a week,40 - 50 minutes,Always,2,3,1,4,No,Yes,No
20395201,5,5,134,I don't regularly exercise,Over an hour,Not too often,4,3,1,2,Yes,Yes,No
20395914,5,8,165,I don't regularly exercise,Over an hour,Often,3,1,2,4,Yes,Yes,Not sure
917041728,6,0,166,5 to 7 days a week,40 - 50 minutes,Not too often,4,3,2,1,Yes,Yes,No
20400616,5,4,166,Once a week,40 - 50 minutes,Sometime,1,2,3,4,Yes,Yes,Yes
916197040,6,1,205,Once a week,Over an hour,Sometime,2,1,3,4,Yes,Yes,No
20387078,5,5,95,I don't regularly exercise,10 - 20 minutes,Never,1,2,3,4,Yes,No,No
20390813,5,2,110,I don't regularly exercise,Over an hour,Not too often,2,1,3,4,Yes,Yes,No
w10536613,5,9,130,2 to 4 days a week,40 - 50 minutes,Not too often,2,1,3,4,Yes,Yes,No
20399992,5,5,149,Once a week,Over an hour,Not too often,1,2,3,4,Yes,Yes,No
20386864,5,0,130,2 to 4 days a week,Over an hour,Always,2,4,3,1,Yes,Yes,Not sure
916625429,5,3,140,2 to 4 days a week,Over an hour,Always,2,3,1,4,Yes,Yes,No
20388002,5,5,100,I don't regularly exercise,10 - 20 minutes,Always,1,4,2,3,Yes,Yes,No
w10546500,5,10,132,2 to 4 days a week,Over an hour,Sometime,4,1,3,2,No,Yes,No
20386727,5,3,146,I don't regularly exercise,40 - 50 minutes,Sometime,1,2,3,4,Yes,Yes,Yes
916598766,6,10,152,2 to 4 days a week,Over an hour,Often,2,1,3,4,Yes,Yes,No
W10609805,5,10,177,5 to 7 days a week,Over an hour,Always,1,2,3,4,Yes,Yes,No
20384727,5,8,135,2 to 4 days a week,Over an hour,Often,2,3,1,4,Yes,Yes,No
W10632556,5,7,144,Once a week,30 - 40 minutes,Often,1,2,3,4,Yes,No,No
20392214,5,8,120,Once a week,Over an hour,Never,1,2,4,3,Yes,Yes,No
20384235,5,2,112,I don't regularly exercise,Over an hour,Sometime,1,2,4,3,Yes,Yes,No
20392332,5,5,154,2 to 4 days a week,Over an hour,Sometime,3,,,2,Yes,Yes,No
